game_id,decision_no,player,phase,empty_cells,legal_actions,action_kind,x,y,direction1,direction2,down_direction,ai,evaluated_candidates,selected_win_rate,selected_score_margin,best_win_rate,second_best_win_rate,best_win_rate_gap,turn,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
4,19,G,3,9,312,put,2,1,Z,Y,,random,,,,,,,19,312,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=0,direction1=Z,direction2=Y",
4,20,F,3,8,140,put,2,2,X,Z,,monte_carlo,24,1.0,7.6,1.0,1.0,0.0,20,140,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Z",
4,21,G,3,7,180,put,0,2,Y,X,,random,,,,,,,21,180,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=0,direction1=Y,direction2=X",
4,22,F,3,6,50,put,0,1,X,Y,,monte_carlo,24,1.0,8.9,1.0,1.0,0.0,22,50,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=1,piece_index=0,direction1=X,direction2=Y",
4,23,G,3,5,84,put,1,1,Y,Z,,random,,,,,,,23,84,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=Y,direction2=Z",0.0
4,24,G,3,4,36,put,0,0,Z,Y,,random,,,,,,,24,36,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=0,direction1=Z,direction2=Y",
5,1,F,1,9,649,put,1,2,Z,Y,,monte_carlo,24,0.8,3.3,0.8,0.8,0.0,1,649,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=2,piece_index=4,direction1=Z,direction2=Y",
5,2,G,1,8,577,put,0,2,X,Z,,random,,,,,,,2,577,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=5,direction1=X,direction2=Z",
5,3,F,1,7,463,put,2,2,Z,X,,monte_carlo,24,0.85,4.6,0.85,0.8,0.04999999999999993,3,463,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=8,direction1=Z,direction2=X",
5,4,G,1,6,397,put,1,1,Z,X,,random,,,,,,,4,397,1.0,0.5,0.0,0.5,1.0,"put,x=1,y=1,piece_index=3,direction1=Z,direction2=X",
5,5,F,1,5,301,put,2,1,Y,Z,,monte_carlo,24,1.0,3.2,1.0,0.95,0.050000000000000044,5,301,1.0,1.0,0.25,0.0,0.75,"put,x=2,y=1,piece_index=8,direction1=Y,direction2=Z",
5,6,G,1,4,241,put,0,1,Y,Z,,random,,,,,,,6,241,0.75,0.75,0.0,0.0,0.75,"put,x=0,y=1,piece_index=6,direction1=Y,direction2=Z",0.5
5,7,F,1,3,163,put,2,0,Z,Y,,monte_carlo,24,1.0,6.8,1.0,0.95,0.050000000000000044,7,163,1.0,1.0,0.5,0.0,0.5,"put,x=2,y=0,piece_index=0,direction1=Z,direction2=Y",
5,8,G,1,2,109,put,1,0,Y,Z,,random,,,,,,,8,109,0.75,0.5,0.0,0.25,0.75,"put,x=1,y=0,piece_index=7,direction1=Y,direction2=Z",
5,9,F,1,1,49,put,0,0,Y,X,,monte_carlo,24,1.0,7.7,1.0,1.0,0.0,9,49,1.0,1.0,0.5,0.0,0.5,"put,x=0,y=0,piece_index=7,direction1=Y,direction2=X",
5,10,F,2,9,547,put,0,0,X,Z,,monte_carlo,24,1.0,7.9,1.0,1.0,0.0,10,547,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=5,direction1=X,direction2=Z",
5,11,G,2,8,544,put,2,2,Y,X,,random,,,,,,,11,544,0.5,0.25,0.0,0.25,0.5,"put,x=2,y=2,piece_index=1,direction1=Y,direction2=X",
5,12,F,2,7,349,put,0,2,Z,Y,,monte_carlo,24,1.0,8.9,1.0,1.0,0.0,12,349,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=5,direction1=Z,direction2=Y",
5,13,G,2,6,336,put,2,1,Z,X,X,random,,,,,,,13,336,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=0,direction1=Z,direction2=X,down_direction=X",
5,14,F,2,5,201,put,1,2,X,Y,,monte_carlo,24,1.0,12.0,1.0,1.0,0.0,14,201,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=1,direction1=X,direction2=Y",
5,15,G,2,4,192,put,0,1,X,Z,X,random,,,,,,,15,192,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=2,direction1=X,direction2=Z,down_direction=X",
5,16,F,2,3,97,put,1,0,Y,Z,,monte_carlo,24,1.0,12.1,1.0,1.0,0.0,16,97,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=Y,direction2=Z",1.0
5,17,G,2,2,80,put,1,1,X,Z,,random,,,,,,,17,80,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=4,direction1=X,direction2=Z",
