game,turn,phase,player,legal_moves_count,best_winrate,second_winrate,worst_winrate,best_second_gap,best_worst_gap,selected_move,selected_winrate
9,10,2,F,547,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=0,piece_index=4,direction1=Z,direction2=X,down_direction=X",
9,11,2,G,544,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=7,direction1=Z,direction2=X",
9,12,2,F,361,1.0,1.0,1.0,0.0,0.0,"put,x=0,y=2,piece_index=5,direction1=Y,direction2=Z",
9,13,2,G,350,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=1,piece_index=4,direction1=X,direction2=Z",
9,14,2,F,211,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=3,direction1=Y,direction2=X",
9,15,2,G,204,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=4,direction1=Z,direction2=X",
9,16,2,F,113,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=2,piece_index=2,direction1=Z,direction2=Y,down_direction=Y",1.0
9,17,2,G,100,0.0,0.0,0.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=Y,direction2=Z,down_direction=Y",
9,18,2,F,31,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=0,piece_index=0,direction1=Z,direction2=Y,down_direction=Y",1.0
9,19,3,G,312,0.0,0.0,0.0,0.0,0.0,"put,x=1,y=1,piece_index=0,direction1=Z,direction2=X",0.0
9,20,3,F,144,1.0,1.0,1.0,0.0,0.0,"put,x=2,y=2,piece_index=1,direction1=X,direction2=Z",
9,21,3,G,186,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=2,piece_index=1,direction1=Y,direction2=Z,down_direction=Y",
9,22,3,F,52,1.0,1.0,1.0,0.0,0.0,"put,x=1,y=0,piece_index=0,direction1=X,direction2=Y",1.0
9,23,3,G,88,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=0,piece_index=1,direction1=Z,direction2=X,down_direction=X",
9,24,3,G,34,0.0,0.0,0.0,0.0,0.0,"put,x=0,y=1,piece_index=0,direction1=X,direction2=Z,down_direction=X",
10,1,1,F,649,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=2,piece_index=0,direction1=Z,direction2=Y",
10,2,1,G,577,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=0,piece_index=4,direction1=X,direction2=Y",
10,3,1,F,463,1.0,1.0,0.0,0.0,1.0,"put,x=0,y=0,piece_index=2,direction1=Z,direction2=Y",
10,4,1,G,397,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=1,piece_index=2,direction1=Z,direction2=X",
10,5,1,F,301,1.0,1.0,0.0,0.0,1.0,"put,x=2,y=2,piece_index=3,direction1=X,direction2=Y",
10,6,1,G,241,1.0,1.0,0.0,0.0,1.0,"put,x=1,y=1,piece_index=9,direction1=Y,direction2=X",
